Områden,Antal sålda,Kr/kvm,Pris tkr,Prisutveckling (%)
Bromma,1768,55533,3349,3
Skärholmen,1231,44490,2899,-1.8
Skarpnäck,2206,56624,3204,1.7
Enskede-Årsta-Vantör,2206,56624,3204,1.7
Älvsjö,378,47227,2849,-0.1
Farsta,1580,44527,2748,1.3
Hägersten-Liljeholmen,2108,64890,3786,3.7
Hässelby-Vällingby,919,41715,2570,2.9
Kungsholmen,2368,86057,4762,3.3
Spånga-Tensta,787,33790,2326,-4.4
Rinkeby-Kista,787,33790,2326,-4.4
Södermalm,3393,83238,4812,3.2
Norrmalm,2369,94495,5683,2.8
Östermalm,2202,93455,6064,1.3
