Områden,Antal sålda,Kr/kvm,Pris tkr,Prisutveckling (%)
Botkyrka,868,31320,1965,-1.4
Danderyd,342,56940,3706,-1
Ekerö,99,39219,2933,15
Haninge,1240,32031,2125,3.6
Huddinge,1209,37555,2412,-0.5
Järfälla,1256,34359,2240,-4
Lidingö,603,54460,3853,5.8
Nacka,1854,48735,3447,2.1
Norrtälje,692,26178,1805,7.1
Nykvarn,94,31150,2155,F
Nynäshamn,290,25220,1713,11.8
Salem,168,30228,2364,-0.5
Sigtuna,575,29280,1998,8.1
Sollentuna,976,39138,2877,-1
Solna,2266,56045,3505,4.9
Stockholm,21347,70035,4172,2.8
Sundbyberg,1293,55308,3341,6.2
Södertälje,920,28239,1843,-0.6
Tyresö,512,34785,2555,0.5
Täby,1227,42868,2946,1
Upplands Väsby,681,32436,2142,-0.3
Upplands-Bro,342,28566,1975,-4
Vallentuna,365,31455,2176,14.5
Vaxholm,164,40003,3059,-0.1
Värmdö,510,42736,2902,1.6
Österåker,456,32957,2356,-4.5
