Venue Category,Main Category,level
Amphitheater,Arts & Entertainment,0
Aquarium,Arts & Entertainment,0
Arcade,Arts & Entertainment,0
Art Gallery,Arts & Entertainment,0
Bowling Alley,Arts & Entertainment,0
Casino,Arts & Entertainment,0
Circus,Arts & Entertainment,0
Comedy Club,Arts & Entertainment,0
Concert Hall,Arts & Entertainment,0
Country Dance Club,Arts & Entertainment,0
Disc Golf,Arts & Entertainment,0
Exhibit,Arts & Entertainment,0
General Entertainment,Arts & Entertainment,0
Go Kart Track,Arts & Entertainment,0
Historic Site,Arts & Entertainment,0
Karaoke Box,Arts & Entertainment,0
Laser Tag,Arts & Entertainment,0
Memorial Site,Arts & Entertainment,0
Mini Golf,Arts & Entertainment,0
Drive-in Theater,Arts & Entertainment,0
Drive-in Theater,Movie Theater,1
Indie Movie Theater,Arts & Entertainment,0
Indie Movie Theater,Movie Theater,1
Multiplex,Arts & Entertainment,0
Multiplex,Movie Theater,1
Movie Theater,Arts & Entertainment,0
Art Museum,Arts & Entertainment,0
Art Museum,Museum,1
Erotic Museum,Arts & Entertainment,0
Erotic Museum,Museum,1
History Museum,Arts & Entertainment,0
History Museum,Museum,1
Planetarium,Arts & Entertainment,0
Planetarium,Museum,1
Science Museum,Arts & Entertainment,0
Science Museum,Museum,1
Museum,Arts & Entertainment,0
Jazz Club,Arts & Entertainment,0
Jazz Club,Music Venue,1
Piano Bar,Arts & Entertainment,0
Piano Bar,Music Venue,1
Rock Club,Arts & Entertainment,0
Rock Club,Music Venue,1
Music Venue,Arts & Entertainment,0
Pachinko Parlor,Arts & Entertainment,0
Dance Studio,Arts & Entertainment,0
Dance Studio,Performing Arts Venue,1
Indie Theater,Arts & Entertainment,0
Indie Theater,Performing Arts Venue,1
Opera House,Arts & Entertainment,0
Opera House,Performing Arts Venue,1
Theater,Arts & Entertainment,0
Theater,Performing Arts Venue,1
Performing Arts Venue,Arts & Entertainment,0
Pool Hall,Arts & Entertainment,0
Outdoor Sculpture,Arts & Entertainment,0
Outdoor Sculpture,Public Art,1
Street Art,Arts & Entertainment,0
Street Art,Public Art,1
Public Art,Arts & Entertainment,0
Racecourse,Arts & Entertainment,0
Racetrack,Arts & Entertainment,0
Roller Rink,Arts & Entertainment,0
Salsa Club,Arts & Entertainment,0
Samba School,Arts & Entertainment,0
Baseball Stadium,Arts & Entertainment,0
Baseball Stadium,Stadium,1
Basketball Stadium,Arts & Entertainment,0
Basketball Stadium,Stadium,1
Cricket Ground,Arts & Entertainment,0
Cricket Ground,Stadium,1
Football Stadium,Arts & Entertainment,0
Football Stadium,Stadium,1
Hockey Arena,Arts & Entertainment,0
Hockey Arena,Stadium,1
Rugby Stadium,Arts & Entertainment,0
Rugby Stadium,Stadium,1
Soccer Stadium,Arts & Entertainment,0
Soccer Stadium,Stadium,1
Tennis Stadium,Arts & Entertainment,0
Tennis Stadium,Stadium,1
Track Stadium,Arts & Entertainment,0
Track Stadium,Stadium,1
